voxel_dis	fdr_inc	fdr_dec	#track_inc_null	#track_dec_null	#track_inc	#track_dec
15	1	0.0394926	2145	2183	0	75235
16	1	0.0416376	1858	1959	0	61284
17	1	0.0435735	1735	1770	0	50464
18	1	0.0452508	1530	1472	0	42447
19	1	0.0473551	1383	1235	0	34906
20	1	0.0496986	1219	1169	0	28891
21	1	0.051484	1027	1006	0	23772
22	1	0.0532174	837	906	0	19525
23	1	0.0544708	738	785	0	16310
24	1	0.0556217	641	674	0	13560
25	1	0.0566733	612	542	0	11763
26	1	0.0586048	498	586	0	10283
27	1	0.0589114	388	510	0	9146
28	1	0.0595499	346	459	0	7613
29	1	0.0593993	336	437	0	6554
30	1	0.0578577	206	346	0	5429
31	1	0.0566075	188	283	0	4797
32	1	0.0560545	176	222	0	3749
33	1	0.0553558	163	192	0	3038
34	1	0.0536445	136	182	0	2519
35	1	0.0495353	162	144	0	2076
36	1	0.0451233	97	122	0	1768
37	1	0.0395398	102	59	0	1369
38	1	0.0387534	88	31	0	1062
39	1	0.0407328	60	45	0	823
40	1	0.0380687	43	23	0	785
41	1	0.0400227	34	16	0	636
42	1	0.0432975	17	24	0	469
43	1	0.0417701	16	17	0	431
44	1	0.0422748	18	18	0	347
45	1	0.0402439	8	20	0	300
46	1	0.0343284	4	28	0	228
47	1	0.016187	3	12	0	179
48	1	0.00643087	2	5	0	159
49	1	0.00129199	0	0	0	90
50	1	0.00146199	1	1	0	94
51	1	0.00169492	1	0	0	74
52	1	0.00169492	0	0	0	49
53	1	0.00169492	0	0	0	53
54	1	0.00169492	1	0	0	51
55	1	0.00169492	0	0	0	43
56	1	0.00169492	0	0	0	28
57	1	0.00169492	0	0	0	30
58	1	0.00169492	0	0	0	30
59	1	0.00169492	0	0	0	18
60	1	0.00169492	0	0	0	21
61	1	0.00169492	0	0	0	8
62	1	0.00169492	0	0	0	19
63	1	0.00169492	0	0	0	19
64	1	0.00169492	0	0	0	21
65	1	0.00169492	0	0	0	11
66	1	0.00169492	0	0	0	18
67	1	0.00169492	0	0	0	13
68	1	0.00169492	0	0	0	20
69	1	0.00169492	0	0	0	16
70	1	0.00169492	0	0	0	6
71	1	0.00169492	0	0	0	9
72	1	0.00169492	0	0	0	6
73	1	0.00169492	0	0	0	3
74	1	0.00169492	0	0	0	0
75	1	0.00169492	0	0	0	7
76	1	0.00169492	0	0	0	4
77	1	0.00169492	0	0	0	2
78	1	0.00169492	0	0	0	2
79	1	0.00169492	0	0	0	2
80	1	0.00169492	0	0	0	1
81	1	0.00169492	0	0	0	0
82	1	0.00169492	0	0	0	0
83	1	0.00169492	0	0	0	2
84	1	0.00169492	0	0	0	0
85	1	0.00169492	0	0	0	2
86	1	0.00169492	0	0	0	2
87	1	0	0	0	0	0
88	1	0	0	0	0	0
89	1	0	0	0	0	0
90	1	0	0	0	0	0
91	1	0	0	0	0	0
92	1	0	0	0	0	0
93	1	0	0	0	0	0
94	1	0	0	0	0	0
95	1	0	0	0	0	0
96	1	0	0	0	0	0
97	1	0	0	0	0	0
98	1	0	0	0	0	0
99	1	0	0	0	0	0
100	1	0	0	0	0	0
101	1	0	0	0	0	0
102	1	0	0	0	0	0
103	1	0	0	0	0	0
104	1	0	0	0	0	0
105	1	0	0	0	0	0
106	1	0	0	0	0	0
107	1	0	0	0	0	0
108	1	0	0	0	0	0
109	1	0	0	0	0	0
110	1	0	0	0	0	0
111	1	0	0	0	0	0
112	1	0	0	0	0	0
113	1	0	0	0	0	0
114	1	0	0	0	0	0
115	1	0	0	0	0	0
116	1	0	0	0	0	0
117	1	0	0	0	0	0
118	1	0	0	0	0	0
119	1	0	0	0	0	0
120	1	0	0	0	0	0
121	1	0	0	0	0	0
122	1	0	0	0	0	0
123	1	0	0	0	0	0
124	1	0	0	0	0	0
125	1	0	0	0	0	0
126	1	0	0	0	0	0
127	1	0	0	0	0	0
128	1	0	0	0	0	0
129	1	0	0	0	0	0
130	1	0	0	0	0	0
131	1	0	0	0	0	0
132	1	0	0	0	0	0
133	1	0	0	0	0	0
134	1	0	0	0	0	0
135	1	0	0	0	0	0
136	1	0	0	0	0	0
137	1	0	0	0	0	0
138	1	0	0	0	0	0
139	1	0	0	0	0	0
140	1	0	0	0	0	0
141	1	0	0	0	0	0
142	1	0	0	0	0	0
143	1	0	0	0	0	0
144	1	0	0	0	0	0
145	1	0	0	0	0	0
146	1	0	0	0	0	0
147	1	0	0	0	0	0
148	1	0	0	0	0	0
149	1	0	0	0	0	0
150	1	0	0	0	0	0
151	1	0	0	0	0	0
152	1	0	0	0	0	0
153	1	0	0	0	0	0
154	1	0	0	0	0	0
155	1	0	0	0	0	0
156	1	0	0	0	0	0
157	1	0	0	0	0	0
158	1	0	0	0	0	0
159	1	0	0	0	0	0
160	1	0	0	0	0	0
161	1	0	0	0	0	0
162	1	0	0	0	0	0
163	1	0	0	0	0	0
164	1	0	0	0	0	0
165	1	0	0	0	0	0
166	1	0	0	0	0	0
167	1	0	0	0	0	0
168	1	0	0	0	0	0
169	1	0	0	0	0	0
170	1	0	0	0	0	0
171	1	0	0	0	0	0
172	1	0	0	0	0	0
173	1	0	0	0	0	0
174	1	0	0	0	0	0
175	1	0	0	0	0	0
176	1	0	0	0	0	0
177	1	0	0	0	0	0
178	1	0	0	0	0	0
179	1	0	0	0	0	0
180	1	0	0	0	0	0
181	1	0	0	0	0	0
182	1	0	0	0	0	0
183	1	0	0	0	0	0
184	1	0	0	0	0	0
185	1	0	0	0	0	0
186	1	0	0	0	0	0
