voxel_dis	fdr_inc	fdr_dec	#track_inc_null	#track_dec_null	#track_inc	#track_dec
15	0.00135312	0.0368013	317	720	208701	45248
16	0.00132148	0.0445921	273	661	173036	32058
17	0.00127331	0.0532017	182	522	146623	23203
18	0.00127938	0.0639863	196	564	124786	16893
19	0.00122337	0.0744997	182	504	101937	11399
20	0.00111864	0.08364	163	353	83033	8450
21	0.000967549	0.0957059	81	309	70748	6596
22	0.000935646	0.109889	98	300	61235	4908
23	0.000813067	0.123323	72	348	52983	3844
24	0.000709441	0.132346	36	324	45259	3251
25	0.000692799	0.142257	41	276	37123	2548
26	0.000615116	0.152839	29	199	30849	2726
27	0.000554678	0.192802	16	155	25547	2073
28	0.000541638	0.265342	15	122	21906	1305
29	0.000515164	0.373791	20	138	18610	819
30	0.000410826	0.508407	4	119	16452	593
31	0.000443927	0.786585	9	125	15304	338
32	0.000411505	0	17	89	12377	158
33	0.000197607	0	3	56	10213	81
34	0.000176006	0	3	60	7146	30
35	0.000130524	0	1	45	6013	32
36	0.000123862	0	1	31	5332	5
37	0.000111268	0	3	25	4946	2
38	4.54215e-05	0	0	21	4278	3
39	4.54215e-05	0	0	9	3573	4
40	4.54215e-05	0	0	12	2740	0
41	4.54215e-05	0	0	12	2234	1
42	4.54215e-05	0	0	2	1890	0
43	4.54215e-05	0	0	7	1624	1
44	4.54215e-05	0	0	3	1370	0
45	4.54215e-05	0	0	2	1065	0
46	4.54215e-05	0	0	10	822	1
47	4.54215e-05	0	0	3	629	0
48	4.54215e-05	0	0	1	439	0
49	4.54215e-05	0	0	3	358	0
50	4.54215e-05	0	0	0	272	0
51	4.54215e-05	0	0	0	169	0
52	4.54215e-05	0	0	0	109	0
53	4.54215e-05	0	0	0	111	0
54	4.54215e-05	0	0	0	75	0
55	4.54215e-05	0	0	0	60	0
56	4.54215e-05	0	0	0	67	0
57	4.54215e-05	0	0	0	30	0
58	4.54215e-05	0	0	0	30	0
59	4.54215e-05	0	0	0	20	0
60	4.54215e-05	0	0	0	13	0
61	4.54215e-05	0	0	0	12	0
62	4.54215e-05	0	0	0	11	0
63	4.54215e-05	0	0	0	4	0
64	4.54215e-05	0	0	0	3	0
65	4.54215e-05	0	0	0	1	0
66	4.54215e-05	0	0	0	0	0
67	4.54215e-05	0	0	0	0	0
68	4.54215e-05	0	0	0	0	0
69	4.54215e-05	0	0	0	0	0
70	4.54215e-05	0	0	0	2	0
71	4.54215e-05	0	0	0	0	0
72	4.54215e-05	0	0	0	1	0
73	4.54215e-05	0	0	0	1	0
74	4.54215e-05	0	0	0	2	0
75	4.54215e-05	0	0	0	0	0
76	4.54215e-05	0	0	0	0	0
77	4.54215e-05	0	0	0	1	0
78	0	0	0	0	0	0
79	0	0	0	0	0	0
80	0	0	0	0	0	0
81	0	0	0	0	0	0
82	0	0	0	0	0	0
83	0	0	0	0	0	0
84	0	0	0	0	0	0
85	0	0	0	0	0	0
86	0	0	0	0	0	0
87	0	0	0	0	0	0
88	0	0	0	0	0	0
89	0	0	0	0	0	0
90	0	0	0	0	0	0
91	0	0	0	0	0	0
92	0	0	0	0	0	0
93	0	0	0	0	0	0
94	0	0	0	0	0	0
95	0	0	0	0	0	0
96	0	0	0	0	0	0
97	0	0	0	0	0	0
98	0	0	0	0	0	0
99	0	0	0	0	0	0
100	0	0	0	0	0	0
101	0	0	0	0	0	0
102	0	0	0	0	0	0
103	0	0	0	0	0	0
104	0	0	0	0	0	0
105	0	0	0	0	0	0
106	0	0	0	0	0	0
107	0	0	0	0	0	0
108	0	0	0	0	0	0
109	0	0	0	0	0	0
110	0	0	0	0	0	0
111	0	0	0	0	0	0
112	0	0	0	0	0	0
113	0	0	0	0	0	0
114	0	0	0	0	0	0
115	0	0	0	0	0	0
116	0	0	0	0	0	0
117	0	0	0	0	0	0
118	0	0	0	0	0	0
119	0	0	0	0	0	0
120	0	0	0	0	0	0
121	0	0	0	0	0	0
122	0	0	0	0	0	0
123	0	0	0	0	0	0
124	0	0	0	0	0	0
125	0	0	0	0	0	0
126	0	0	0	0	0	0
127	0	0	0	0	0	0
128	0	0	0	0	0	0
129	0	0	0	0	0	0
130	0	0	0	0	0	0
131	0	0	0	0	0	0
132	0	0	0	0	0	0
133	0	0	0	0	0	0
134	0	0	0	0	0	0
135	0	0	0	0	0	0
136	0	0	0	0	0	0
137	0	0	0	0	0	0
138	0	0	0	0	0	0
139	0	0	0	0	0	0
140	0	0	0	0	0	0
141	0	0	0	0	0	0
142	0	0	0	0	0	0
143	0	0	0	0	0	0
144	0	0	0	0	0	0
145	0	0	0	0	0	0
146	0	0	0	0	0	0
147	0	0	0	0	0	0
148	0	0	0	0	0	0
149	0	0	0	0	0	0
150	0	0	0	0	0	0
151	0	0	0	0	0	0
152	0	0	0	0	0	0
153	0	0	0	0	0	0
154	0	0	0	0	0	0
155	0	0	0	0	0	0
156	0	0	0	0	0	0
157	0	0	0	0	0	0
158	0	0	0	0	0	0
159	0	0	0	0	0	0
160	0	0	0	0	0	0
161	0	0	0	0	0	0
162	0	0	0	0	0	0
163	0	0	0	0	0	0
164	0	0	0	0	0	0
165	0	0	0	0	0	0
166	0	0	0	0	0	0
167	0	0	0	0	0	0
168	0	0	0	0	0	0
169	0	0	0	0	0	0
170	0	0	0	0	0	0
171	0	0	0	0	0	0
172	0	0	0	0	0	0
173	0	0	0	0	0	0
174	0	0	0	0	0	0
175	0	0	0	0	0	0
176	0	0	0	0	0	0
177	0	0	0	0	0	0
178	0	0	0	0	0	0
179	0	0	0	0	0	0
180	0	0	0	0	0	0
181	0	0	0	0	0	0
182	0	0	0	0	0	0
183	0	0	0	0	0	0
184	0	0	0	0	0	0
185	0	0	0	0	0	0
186	0	0	0	0	0	0
