voxel_dis	fdr_inc	fdr_dec	#track_inc_null	#track_dec_null	#track_inc	#track_dec
15	0.00304573	1	2363	3180	665796	2849
16	0.0029773	1	2094	2747	560982	1830
17	0.00287959	1	1786	2391	484029	1020
18	0.0027778	1	1500	2128	425595	713
19	0.00268508	1	1335	1853	378467	500
20	0.00258053	1	1144	1529	333225	453
21	0.00247591	1	1039	1232	299323	277
22	0.00235263	1	910	1052	261710	214
23	0.00221605	1	863	1017	225857	186
24	0.00202813	1	701	936	201655	133
25	0.00185906	1	683	789	189477	158
26	0.00164397	1	545	682	170021	132
27	0.00144986	1	424	631	151857	88
28	0.00128221	1	313	535	130245	18
29	0.00114773	1	284	375	114236	15
30	0.00099034	1	228	306	102399	10
31	0.000844664	1	221	349	92012	3
32	0.000660255	1	188	263	84563	0
33	0.000469375	1	102	267	76732	0
34	0.000362202	1	56	221	68722	0
35	0.000305326	1	41	151	61476	0
36	0.000259537	1	27	171	55234	0
37	0.000230101	1	26	180	49167	0
38	0.000191561	1	11	120	46393	0
39	0.000185248	1	14	86	43207	0
40	0.000164677	1	5	75	36245	0
41	0.000168473	1	9	89	30710	0
42	0.000151431	1	5	61	27063	0
43	0.000146864	1	6	69	24059	0
44	0.00013264	1	7	60	22453	0
45	0.000105996	1	7	51	19576	0
46	6.85072e-05	1	6	25	17011	0
47	2.62325e-05	1	2	15	14735	0
48	1.00374e-05	1	0	12	12817	0
49	1.15194e-05	1	0	11	11549	0
50	1.32871e-05	1	0	10	11331	0
51	1.56421e-05	1	0	2	9720	0
52	1.84468e-05	1	0	3	8220	0
53	2.17439e-05	1	1	1	7551	0
54	2.60152e-05	1	0	0	6272	0
55	2.60152e-05	1	0	0	4726	0
56	2.60152e-05	1	0	0	3737	0
57	2.60152e-05	1	0	0	3245	0
58	2.60152e-05	1	0	0	2904	0
59	2.60152e-05	1	0	1	2478	0
60	2.60152e-05	1	0	0	2088	0
61	2.60152e-05	1	0	1	1763	0
62	2.60152e-05	1	0	0	1552	0
63	2.60152e-05	1	0	0	1369	0
64	2.60152e-05	1	0	0	1154	0
65	2.60152e-05	1	0	0	1080	0
66	2.60152e-05	1	0	0	950	0
67	2.60152e-05	1	0	0	755	0
68	2.60152e-05	1	0	0	705	0
69	2.60152e-05	1	0	0	616	0
70	2.60152e-05	1	0	0	471	0
71	2.60152e-05	1	0	0	363	0
72	2.60152e-05	1	0	0	285	0
73	2.60152e-05	1	0	0	266	0
74	2.60152e-05	1	0	0	193	0
75	2.60152e-05	1	0	0	175	0
76	2.60152e-05	1	0	0	186	0
77	2.60152e-05	1	0	0	142	0
78	2.60152e-05	1	0	0	128	0
79	2.60152e-05	1	0	0	111	0
80	2.60152e-05	1	0	0	112	0
81	2.60152e-05	1	0	0	74	0
82	2.60152e-05	1	0	0	67	0
83	2.60152e-05	1	0	0	62	0
84	2.60152e-05	1	0	0	63	0
85	2.60152e-05	1	0	0	45	0
86	2.60152e-05	1	0	0	35	0
87	2.60152e-05	1	0	0	28	0
88	2.60152e-05	1	0	0	42	0
89	2.60152e-05	1	0	0	23	0
90	2.60152e-05	1	0	0	20	0
91	2.60152e-05	1	0	0	18	0
92	2.60152e-05	1	0	0	15	0
93	2.60152e-05	1	0	0	15	0
94	2.60152e-05	1	0	0	12	0
95	2.60152e-05	1	0	0	16	0
96	2.60152e-05	1	0	0	14	0
97	2.60152e-05	1	0	0	7	0
98	2.60152e-05	1	0	0	7	0
99	2.60152e-05	1	0	0	5	0
100	2.60152e-05	1	0	0	7	0
101	2.60152e-05	1	0	0	4	0
102	2.60152e-05	1	0	0	5	0
103	2.60152e-05	1	0	0	3	0
104	2.60152e-05	1	0	0	0	0
105	2.60152e-05	1	0	0	3	0
106	2.60152e-05	1	0	0	0	0
107	2.60152e-05	1	0	0	0	0
108	2.60152e-05	1	0	0	2	0
109	2.60152e-05	1	0	0	0	0
110	2.60152e-05	1	0	0	2	0
111	2.60152e-05	1	0	0	0	0
112	2.60152e-05	1	0	0	3	0
113	2.60152e-05	1	0	0	2	0
114	2.60152e-05	1	0	0	0	0
115	2.60152e-05	1	0	0	1	0
116	2.60152e-05	1	0	0	2	0
117	2.60152e-05	1	0	0	0	0
118	2.60152e-05	1	0	0	2	0
119	2.60152e-05	1	0	0	2	0
120	2.60152e-05	1	0	0	0	0
121	2.60152e-05	1	0	0	2	0
122	2.60152e-05	1	0	0	1	0
123	2.60152e-05	1	0	0	2	0
124	2.60152e-05	1	0	0	1	0
125	2.60152e-05	1	0	0	0	0
126	2.60152e-05	1	0	0	0	0
127	2.60152e-05	1	0	0	0	0
128	2.60152e-05	1	0	0	0	0
129	2.60152e-05	1	0	0	0	0
130	2.60152e-05	1	0	0	0	0
131	2.60152e-05	1	0	0	0	0
132	2.60152e-05	1	0	0	0	0
133	2.60152e-05	1	0	0	0	0
134	2.60152e-05	1	0	0	0	0
135	2.60152e-05	1	0	0	0	0
136	2.60152e-05	1	0	0	0	0
137	2.60152e-05	1	0	0	0	0
138	2.60152e-05	1	0	0	0	0
139	2.60152e-05	1	0	0	0	0
140	2.60152e-05	1	0	0	0	0
141	2.60152e-05	1	0	0	0	0
142	2.60152e-05	1	0	0	0	0
143	2.60152e-05	1	0	0	0	0
144	2.60152e-05	1	0	0	0	0
145	2.60152e-05	1	0	0	0	0
146	2.60152e-05	1	0	0	0	0
147	2.60152e-05	1	0	0	0	0
148	2.60152e-05	1	0	0	0	0
149	2.60152e-05	1	0	0	0	0
150	2.60152e-05	1	0	0	0	0
151	2.60152e-05	1	0	0	0	0
152	2.60152e-05	1	0	0	0	0
153	2.60152e-05	1	0	0	0	0
154	2.60152e-05	1	0	0	0	0
155	2.60152e-05	1	0	0	0	0
156	2.60152e-05	1	0	0	0	0
157	2.60152e-05	1	0	0	0	0
158	2.60152e-05	1	0	0	1	0
159	0	1	0	0	0	0
160	0	1	0	0	0	0
161	0	1	0	0	0	0
162	0	1	0	0	0	0
163	0	1	0	0	0	0
164	0	1	0	0	0	0
165	0	1	0	0	0	0
166	0	1	0	0	0	0
167	0	1	0	0	0	0
168	0	1	0	0	0	0
169	0	1	0	0	0	0
170	0	1	0	0	0	0
171	0	1	0	0	0	0
172	0	1	0	0	0	0
173	0	1	0	0	0	0
174	0	1	0	0	0	0
175	0	1	0	0	0	0
176	0	1	0	0	0	0
177	0	1	0	0	0	0
178	0	1	0	0	0	0
179	0	1	0	0	0	0
180	0	1	0	0	0	0
181	0	1	0	0	0	0
182	0	1	0	0	0	0
183	0	1	0	0	0	0
184	0	1	0	0	0	0
185	0	1	0	0	0	0
186	0	1	0	0	0	0
