voxel_dis	fdr_inc	fdr_dec	#track_inc_null	#track_dec_null	#track_inc	#track_dec
15	0.000325839	7.51885e-06	0	0	1062	13310
16	0.000325839	7.51885e-06	0	0	1084	12021
17	0.000325839	7.51885e-06	0	0	498	10793
18	0.000325839	7.51885e-06	0	0	182	10331
19	0.000325839	7.51885e-06	0	0	100	9623
20	0.000325839	7.51885e-06	0	0	41	7831
21	0.000325839	7.51885e-06	0	0	37	7105
22	0.000325839	7.51885e-06	0	0	25	7243
23	0.000325839	7.51885e-06	0	0	8	6870
24	0.000325839	7.51885e-06	0	0	15	5971
25	0.000325839	7.51885e-06	0	0	8	4991
26	0.000325839	7.51885e-06	0	0	5	4227
27	0.000325839	7.51885e-06	0	0	1	3863
28	0.000325839	7.51885e-06	0	0	1	3484
29	0.000325839	7.51885e-06	0	0	1	2992
30	0.000325839	7.51885e-06	0	0	0	2694
31	0.000325839	7.51885e-06	0	0	1	2328
32	0	7.51885e-06	0	0	0	2327
33	0	7.51885e-06	0	0	0	2181
34	0	7.51885e-06	0	0	0	1839
35	0	7.51885e-06	0	0	0	1617
36	0	7.51885e-06	0	0	0	1493
37	0	7.51885e-06	0	0	0	1170
38	0	7.51885e-06	0	0	0	1053
39	0	7.51885e-06	0	0	0	919
40	0	7.51885e-06	0	0	0	680
41	0	7.51885e-06	0	0	0	531
42	0	7.51885e-06	0	0	0	445
43	0	7.51885e-06	0	0	0	445
44	0	7.51885e-06	0	0	0	367
45	0	7.51885e-06	0	0	0	373
46	0	7.51885e-06	0	0	0	305
47	0	7.51885e-06	0	0	0	236
48	0	7.51885e-06	0	0	0	211
49	0	7.51885e-06	0	0	0	164
50	0	7.51885e-06	0	0	0	127
51	0	7.51885e-06	0	0	0	111
52	0	7.51885e-06	0	0	0	109
53	0	7.51885e-06	0	0	0	101
54	0	7.51885e-06	0	0	0	86
55	0	7.51885e-06	0	0	0	78
56	0	7.51885e-06	0	0	0	70
57	0	7.51885e-06	0	0	0	49
58	0	7.51885e-06	0	0	0	30
59	0	7.51885e-06	0	0	0	33
60	0	7.51885e-06	0	0	0	22
61	0	7.51885e-06	0	0	0	19
62	0	7.51885e-06	0	0	0	22
63	0	7.51885e-06	0	0	0	21
64	0	7.51885e-06	0	0	0	6
65	0	7.51885e-06	0	0	0	13
66	0	7.51885e-06	0	0	0	8
67	0	7.51885e-06	0	0	0	11
68	0	7.51885e-06	0	0	0	7
69	0	7.51885e-06	0	0	0	14
70	0	7.51885e-06	0	0	0	5
71	0	7.51885e-06	0	0	0	4
72	0	7.51885e-06	0	0	0	3
73	0	7.51885e-06	0	0	0	3
74	0	7.51885e-06	0	0	0	2
75	0	7.51885e-06	0	0	0	5
76	0	7.51885e-06	0	0	0	1
77	0	7.51885e-06	0	0	0	0
78	0	7.51885e-06	0	0	0	0
79	0	7.51885e-06	0	0	0	1
80	0	7.51885e-06	0	0	0	0
81	0	7.51885e-06	0	0	0	0
82	0	7.51885e-06	0	0	0	1
83	0	7.51885e-06	0	0	0	0
84	0	7.51885e-06	0	0	0	1
85	0	7.51885e-06	0	0	0	1
86	0	7.51885e-06	0	0	0	0
87	0	7.51885e-06	0	0	0	1
88	0	7.51885e-06	0	0	0	0
89	0	7.51885e-06	0	0	0	1
90	0	0	0	0	0	0
91	0	0	0	0	0	0
92	0	0	0	0	0	0
93	0	0	0	0	0	0
94	0	0	0	0	0	0
95	0	0	0	0	0	0
96	0	0	0	0	0	0
97	0	0	0	0	0	0
98	0	0	0	0	0	0
99	0	0	0	0	0	0
100	0	0	0	0	0	0
101	0	0	0	0	0	0
102	0	0	0	0	0	0
103	0	0	0	0	0	0
104	0	0	0	0	0	0
105	0	0	0	0	0	0
