voxel_dis	fdr_inc	fdr_dec	#track_inc_null	#track_dec_null	#track_inc	#track_dec
15	1.0451e-05	6.80587e-06	0	0	8376	16030
16	1.0451e-05	6.80587e-06	0	0	9183	14196
17	1.0451e-05	6.80587e-06	0	0	8873	12496
18	1.0451e-05	6.80587e-06	0	0	8029	11714
19	1.0451e-05	6.80587e-06	0	0	7272	10668
20	1.0451e-05	6.80587e-06	0	0	5864	8696
21	1.0451e-05	6.80587e-06	0	0	4907	8070
22	1.0451e-05	6.80587e-06	0	0	4603	8017
23	1.0451e-05	6.80587e-06	0	0	5116	7260
24	1.0451e-05	6.80587e-06	0	0	4737	6279
25	1.0451e-05	6.80587e-06	0	0	3709	5217
26	1.0451e-05	6.80587e-06	0	0	2966	4426
27	1.0451e-05	6.80587e-06	0	0	2854	4016
28	1.0451e-05	6.80587e-06	0	0	3179	3654
29	1.0451e-05	6.80587e-06	0	0	3491	3190
30	1.0451e-05	6.80587e-06	0	0	3476	2824
31	1.0451e-05	6.80587e-06	0	0	2559	2407
32	1.0451e-05	6.80587e-06	0	0	2030	2398
33	1.0451e-05	6.80587e-06	0	0	1261	2255
34	1.0451e-05	6.80587e-06	0	0	1002	1914
35	1.0451e-05	6.80587e-06	0	0	971	1676
36	1.0451e-05	6.80587e-06	0	0	763	1518
37	1.0451e-05	6.80587e-06	0	0	392	1189
38	1.0451e-05	6.80587e-06	0	0	66	1071
39	1.0451e-05	6.80587e-06	0	0	3	935
40	1.0451e-05	6.80587e-06	0	0	2	696
41	1.0451e-05	6.80587e-06	0	0	1	539
42	0	6.80587e-06	0	0	0	454
43	0	6.80587e-06	0	0	0	453
44	0	6.80587e-06	0	0	0	378
45	0	6.80587e-06	0	0	0	387
46	0	6.80587e-06	0	0	0	308
47	0	6.80587e-06	0	0	0	240
48	0	6.80587e-06	0	0	0	216
49	0	6.80587e-06	0	0	0	166
50	0	6.80587e-06	0	0	0	130
51	0	6.80587e-06	0	0	0	112
52	0	6.80587e-06	0	0	0	109
53	0	6.80587e-06	0	0	0	102
54	0	6.80587e-06	0	0	0	87
55	0	6.80587e-06	0	0	0	78
56	0	6.80587e-06	0	0	0	72
57	0	6.80587e-06	0	0	0	50
58	0	6.80587e-06	0	0	0	30
59	0	6.80587e-06	0	0	0	35
60	0	6.80587e-06	0	0	0	22
61	0	6.80587e-06	0	0	0	19
62	0	6.80587e-06	0	0	0	22
63	0	6.80587e-06	0	0	0	21
64	0	6.80587e-06	0	0	0	6
65	0	6.80587e-06	0	0	0	13
66	0	6.80587e-06	0	0	0	9
67	0	6.80587e-06	0	0	0	11
68	0	6.80587e-06	0	0	0	7
69	0	6.80587e-06	0	0	0	14
70	0	6.80587e-06	0	0	0	5
71	0	6.80587e-06	0	0	0	4
72	0	6.80587e-06	0	0	0	3
73	0	6.80587e-06	0	0	0	4
74	0	6.80587e-06	0	0	0	2
75	0	6.80587e-06	0	0	0	5
76	0	6.80587e-06	0	0	0	1
77	0	6.80587e-06	0	0	0	0
78	0	6.80587e-06	0	0	0	0
79	0	6.80587e-06	0	0	0	1
80	0	6.80587e-06	0	0	0	0
81	0	6.80587e-06	0	0	0	0
82	0	6.80587e-06	0	0	0	1
83	0	6.80587e-06	0	0	0	0
84	0	6.80587e-06	0	0	0	1
85	0	6.80587e-06	0	0	0	1
86	0	6.80587e-06	0	0	0	0
87	0	6.80587e-06	0	0	0	1
88	0	6.80587e-06	0	0	0	0
89	0	6.80587e-06	0	0	0	1
90	0	0	0	0	0	0
91	0	0	0	0	0	0
92	0	0	0	0	0	0
93	0	0	0	0	0	0
94	0	0	0	0	0	0
95	0	0	0	0	0	0
96	0	0	0	0	0	0
97	0	0	0	0	0	0
98	0	0	0	0	0	0
99	0	0	0	0	0	0
100	0	0	0	0	0	0
101	0	0	0	0	0	0
102	0	0	0	0	0	0
103	0	0	0	0	0	0
104	0	0	0	0	0	0
105	0	0	0	0	0	0
106	0	0	0	0	0	0
107	0	0	0	0	0	0
108	0	0	0	0	0	0
109	0	0	0	0	0	0
110	0	0	0	0	0	0
111	0	0	0	0	0	0
112	0	0	0	0	0	0
113	0	0	0	0	0	0
114	0	0	0	0	0	0
115	0	0	0	0	0	0
116	0	0	0	0	0	0
117	0	0	0	0	0	0
118	0	0	0	0	0	0
119	0	0	0	0	0	0
120	0	0	0	0	0	0
121	0	0	0	0	0	0
122	0	0	0	0	0	0
123	0	0	0	0	0	0
124	0	0	0	0	0	0
125	0	0	0	0	0	0
126	0	0	0	0	0	0
127	0	0	0	0	0	0
128	0	0	0	0	0	0
129	0	0	0	0	0	0
130	0	0	0	0	0	0
131	0	0	0	0	0	0
132	0	0	0	0	0	0
133	0	0	0	0	0	0
134	0	0	0	0	0	0
135	0	0	0	0	0	0
136	0	0	0	0	0	0
137	0	0	0	0	0	0
138	0	0	0	0	0	0
139	0	0	0	0	0	0
140	0	0	0	0	0	0
141	0	0	0	0	0	0
142	0	0	0	0	0	0
143	0	0	0	0	0	0
144	0	0	0	0	0	0
145	0	0	0	0	0	0
146	0	0	0	0	0	0
147	0	0	0	0	0	0
148	0	0	0	0	0	0
149	0	0	0	0	0	0
150	0	0	0	0	0	0
151	0	0	0	0	0	0
152	0	0	0	0	0	0
153	0	0	0	0	0	0
154	0	0	0	0	0	0
155	0	0	0	0	0	0
156	0	0	0	0	0	0
157	0	0	0	0	0	0
158	0	0	0	0	0	0
159	0	0	0	0	0	0
160	0	0	0	0	0	0
161	0	0	0	0	0	0
162	0	0	0	0	0	0
163	0	0	0	0	0	0
164	0	0	0	0	0	0
165	0	0	0	0	0	0
166	0	0	0	0	0	0
167	0	0	0	0	0	0
168	0	0	0	0	0	0
169	0	0	0	0	0	0
170	0	0	0	0	0	0
171	0	0	0	0	0	0
172	0	0	0	0	0	0
173	0	0	0	0	0	0
174	0	0	0	0	0	0
175	0	0	0	0	0	0
176	0	0	0	0	0	0
177	0	0	0	0	0	0
178	0	0	0	0	0	0
179	0	0	0	0	0	0
180	0	0	0	0	0	0
181	0	0	0	0	0	0
182	0	0	0	0	0	0
183	0	0	0	0	0	0
184	0	0	0	0	0	0
185	0	0	0	0	0	0
186	0	0	0	0	0	0
